lookback_steps,lookback_min,lstm_rmse,lstm_mae,naive_rmse,naive_mae
3,15,0.6954598859960455,0.5161380171775818,0.766675967353576,0.5559401512145996
6,30,0.5747252326099008,0.4380508065223694,0.753138887902577,0.5509145259857178
12,60,0.5793165094259706,0.4394383430480957,0.742165494893769,0.5479120016098022
24,120,0.5793480951426203,0.4434685707092285,0.7464952836369959,0.5500218868255615
