horizon_steps,horizon_min,lstm_rmse,lstm_mae,naive_rmse,naive_mae
1,5,0.5844146521268085,0.4390927255153656,0.6934740428398538,0.4926007390022278
3,15,0.5745594804315759,0.4412252902984619,0.753138887902577,0.5509145259857178
6,30,0.5825382047411678,0.44248083233833313,0.7455631786211916,0.5489761233329773
12,60,0.6418483729722311,0.4894929826259613,0.7726677811767905,0.5761160850524902
