step,timestamp,actual_demand,lstm_forecast,reactive_servers,lstm_servers,reactive_capacity,lstm_capacity,reactive_sla_violation,lstm_sla_violation,reactive_over_prov,lstm_over_prov,reactive_action,lstm_action,reactive_cum_sla_pct,lstm_cum_sla_pct,reactive_cum_cost,lstm_cum_cost
0,2026-08-26 01:24:48,123.355576,132.06728,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
1,2026-08-26 01:29:48,138.77502,129.03227,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
2,2026-08-26 01:34:48,138.77502,129.56705,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
3,2026-08-26 01:39:48,161.90417,131.28432,2,2,160.0,160.0,1,1,0,0,hold,hold,25.0,25.0,1.25,1.25
4,2026-08-26 01:44:48,132.99274,137.71571,2,2,160.0,160.0,0,0,0,0,hold,hold,20.0,20.0,1.0,1.0
5,2026-08-26 01:49:48,138.77502,137.46188,2,3,160.0,240.0,0,0,0,0,hold,scale_up +1,16.666666666666664,16.666666666666664,0.8333333333333334,0.8333333333333334
6,2026-08-26 01:54:48,132.99274,138.11714,2,3,160.0,240.0,0,0,0,0,hold,hold,14.285714285714285,14.285714285714285,0.7142857142857143,0.7142857142857143
7,2026-08-26 01:59:48,138.77502,137.07404,2,3,160.0,240.0,0,0,0,0,hold,hold,12.5,12.5,0.625,0.625
8,2026-08-26 02:04:48,138.77502,136.75513,2,3,160.0,240.0,0,0,0,0,hold,hold,11.11111111111111,11.11111111111111,0.5555555555555556,0.5555555555555556
9,2026-08-26 02:09:48,150.3396,136.70215,2,3,160.0,240.0,0,0,0,0,hold,hold,10.0,10.0,0.5,0.5
10,2026-08-26 02:14:48,138.77502,138.27083,2,3,160.0,240.0,0,0,0,0,hold,hold,9.090909090909092,9.090909090909092,0.45454545454545453,0.45454545454545453
11,2026-08-26 02:19:48,161.90417,138.50249,2,3,160.0,240.0,1,0,0,0,hold,hold,16.666666666666664,8.333333333333332,0.8333333333333334,0.4166666666666667
12,2026-08-26 02:24:48,138.77502,143.38046,2,3,160.0,240.0,0,0,0,0,hold,hold,15.384615384615385,7.6923076923076925,0.7692307692307693,0.38461538461538464
13,2026-08-26 02:29:48,138.77502,142.51576,2,3,160.0,240.0,0,0,0,0,hold,hold,14.285714285714285,7.142857142857142,0.7142857142857143,0.35714285714285715
14,2026-08-26 02:34:48,115.64584,141.12822,2,3,160.0,240.0,0,0,0,1,hold,hold,13.333333333333334,6.666666666666667,0.6666666666666666,0.39999999999999997
15,2026-08-26 02:39:48,144.5573,134.7309,2,3,160.0,240.0,0,0,0,0,hold,hold,12.5,6.25,0.625,0.375
16,2026-08-26 02:44:48,156.12189,135.1812,2,3,160.0,240.0,0,0,0,0,hold,hold,11.76470588235294,5.88235294117647,0.5882352941176471,0.35294117647058826
17,2026-08-26 02:49:48,134.14919,139.50984,2,3,160.0,240.0,0,0,0,0,hold,hold,11.11111111111111,5.555555555555555,0.5555555555555556,0.33333333333333337
18,2026-08-26 02:54:48,123.355576,137.28822,2,3,160.0,240.0,0,0,0,0,hold,hold,10.526315789473683,5.263157894736842,0.5263157894736842,0.3157894736842105
19,2026-08-26 02:59:48,138.77502,133.66959,2,3,160.0,240.0,0,0,0,0,hold,hold,10.0,5.0,0.5,0.3
