step,timestamp,actual_demand,lstm_forecast,reactive_servers,lstm_servers,reactive_capacity,lstm_capacity,reactive_sla_violation,lstm_sla_violation,reactive_over_prov,lstm_over_prov,reactive_action,lstm_action,reactive_cum_sla_pct,lstm_cum_sla_pct,reactive_cum_cost,lstm_cum_cost
0,2026-08-26 01:14:26,132.78404,147.9978,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
1,2026-08-26 01:19:26,123.9904,141.43584,2,3,160.0,240.0,0,0,0,0,hold,scale_up +1,0.0,0.0,0.0,0.0
2,2026-08-26 01:24:26,126.628494,133.24261,2,2,160.0,160.0,0,0,0,0,hold,scale_down -1,0.0,0.0,0.0,0.0
3,2026-08-26 01:29:26,149.05229,128.51068,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
4,2026-08-26 01:34:26,121.87993,133.1982,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
5,2026-08-26 01:39:26,121.87993,129.01112,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
6,2026-08-26 01:44:26,103.765015,124.99881,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
7,2026-08-26 01:49:26,114.75708,117.02983,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
8,2026-08-26 01:54:26,120.472946,114.498,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
9,2026-08-26 01:59:26,112.38279,115.32255,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
10,2026-08-26 02:04:26,117.39517,113.939415,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
11,2026-08-26 02:09:26,113.43803,114.50946,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
12,2026-08-26 02:14:26,135.2023,113.923256,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
13,2026-08-26 02:19:26,121.792,120.08215,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
14,2026-08-26 02:24:26,140.47849,121.04257,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
15,2026-08-26 02:29:26,129.26659,126.70514,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
16,2026-08-26 02:34:26,139.15944,127.683266,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
17,2026-08-26 02:39:26,148.61261,130.69705,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
18,2026-08-26 02:44:26,128.60707,136.06285,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
19,2026-08-26 02:49:26,145.75468,133.14212,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
20,2026-08-26 02:54:26,152.63257,135.83813,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
21,2026-08-26 02:59:26,131.02533,140.43785,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.0,0.0
22,2026-08-26 03:04:26,131.90468,136.66177,3,3,240.0,240.0,0,0,0,0,hold,scale_up +1,0.0,0.0,0.0,0.0
23,2026-08-26 03:09:26,139.81897,133.27846,3,2,240.0,160.0,0,0,0,0,hold,scale_down -1,0.0,0.0,0.0,0.0
24,2026-08-26 03:14:26,148.39278,133.57336,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
25,2026-08-26 03:19:26,149.84372,137.33386,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
26,2026-08-26 03:24:26,131.90468,140.65173,3,3,240.0,240.0,0,0,0,0,hold,scale_up +1,0.0,0.0,0.0,0.0
27,2026-08-26 03:29:26,129.26659,136.7618,3,2,240.0,160.0,0,0,0,0,hold,scale_down -1,0.0,0.0,0.0,0.0
28,2026-08-26 03:34:26,127.50786,132.59615,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
29,2026-08-26 03:39:26,103.765015,129.13017,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.03333333333333333,0.0
30,2026-08-26 03:44:26,108.16184,119.519,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.06451612903225806,0.0
31,2026-08-26 03:49:26,107.50232,113.751686,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.09375,0.0
32,2026-08-26 03:54:26,126.628494,110.31812,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.09090909090909091,0.0
33,2026-08-26 03:59:26,131.465,114.28572,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.08823529411764706,0.0
34,2026-08-26 04:04:26,109.92058,119.76073,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.11428571428571428,0.0
35,2026-08-26 04:09:26,104.996124,117.165016,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.1388888888888889,0.0
36,2026-08-26 04:14:26,98.92851,112.890915,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.16216216216216217,0.0
37,2026-08-26 04:19:26,102.006294,107.780754,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.18421052631578946,0.0
38,2026-08-26 04:24:26,130.58563,105.11427,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.1794871794871795,0.0
39,2026-08-26 04:29:26,125.04565,111.913345,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.175,0.0
40,2026-08-26 04:34:26,106.40311,116.70645,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.1951219512195122,0.0
41,2026-08-26 04:39:26,112.7785,114.24916,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.21428571428571427,0.0
42,2026-08-26 04:44:26,102.88566,113.230125,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.23255813953488372,0.0
43,2026-08-26 04:49:26,101.566605,109.787575,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.25,0.0
44,2026-08-26 04:54:26,115.19676,106.668335,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.26666666666666666,0.0
45,2026-08-26 04:59:26,115.4166,108.34934,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.2826086956521739,0.0
46,2026-08-26 05:04:26,103.54518,110.58441,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.2978723404255319,0.0
47,2026-08-26 05:09:26,85.738045,108.91238,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.2916666666666667,0.0
48,2026-08-26 05:14:26,114.75708,101.94382,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2857142857142857,0.0
49,2026-08-26 05:19:26,119.844826,104.57446,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.28,0.0
50,2026-08-26 05:24:26,146.4142,109.553116,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.27450980392156865,0.0
51,2026-08-26 05:29:26,118.054695,121.414,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2692307692307692,0.0
52,2026-08-26 05:34:26,100.247574,121.87865,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2641509433962264,0.0
53,2026-08-26 05:39:26,97.60947,115.06984,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.25925925925925924,0.0
54,2026-08-26 05:44:26,101.830414,108.62015,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2545454545454545,0.0
55,2026-08-26 05:49:26,118.71422,105.20597,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.25,0.0
56,2026-08-26 05:54:26,105.52375,108.394806,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.24561403508771928,0.0
57,2026-08-26 05:59:26,99.11695,107.78324,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2413793103448276,0.0
58,2026-08-26 06:04:26,89.695175,105.3033,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.23728813559322035,0.0
59,2026-08-26 06:09:26,131.02533,100.67352,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.23333333333333334,0.0
60,2026-08-26 06:14:26,110.79993,108.80711,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.22950819672131148,0.0
61,2026-08-26 06:19:26,115.4166,110.77243,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.22580645161290322,0.0
62,2026-08-26 06:24:26,112.55867,112.35662,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2222222222222222,0.0
63,2026-08-26 06:29:26,111.55367,112.60857,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.21875,0.0
64,2026-08-26 06:34:26,98.48883,112.22243,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2153846153846154,0.0
65,2026-08-26 06:39:26,118.71422,108.03819,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.21212121212121213,0.0
66,2026-08-26 06:44:26,110.36025,110.10722,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.208955223880597,0.0
67,2026-08-26 06:49:26,115.02089,110.439095,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.20588235294117646,0.0
68,2026-08-26 06:54:26,105.52375,111.70375,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2028985507246377,0.0
69,2026-08-26 06:59:26,106.18327,109.939415,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2,0.0
70,2026-08-26 07:04:26,145.09515,108.44332,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.19718309859154928,0.0
71,2026-08-26 07:09:26,134.54279,119.136856,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.19444444444444445,0.0
72,2026-08-26 07:14:26,118.71422,125.125725,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.1917808219178082,0.0
73,2026-08-26 07:19:26,120.033264,123.566345,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.1891891891891892,0.0
74,2026-08-26 07:24:26,112.7785,121.612144,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.18666666666666668,0.0
75,2026-08-26 07:29:26,139.81897,118.00962,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.18421052631578946,0.0
76,2026-08-26 07:34:26,94.971375,123.61272,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.18181818181818182,0.0
77,2026-08-26 07:39:26,96.29042,114.733185,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.1794871794871795,0.0
78,2026-08-26 07:44:26,118.71422,107.524155,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.17721518987341772,0.0
79,2026-08-26 07:49:26,99.25828,109.38154,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.175,0.0
80,2026-08-26 07:54:26,109.92058,106.52274,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.1728395061728395,0.0
81,2026-08-26 07:59:26,115.19676,107.057785,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.17073170731707318,0.0
82,2026-08-26 08:04:26,116.076126,109.27189,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.1686746987951807,0.0
83,2026-08-26 08:09:26,137.18088,111.85871,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.16666666666666666,0.0
84,2026-08-26 08:14:26,131.02533,119.854454,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.16470588235294117,0.0
85,2026-08-26 08:19:26,122.01183,124.0673,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.16279069767441862,0.0
86,2026-08-26 08:24:26,105.52375,123.68146,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.16091954022988506,0.0
87,2026-08-26 08:29:26,121.35232,117.3966,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.1590909090909091,0.0
88,2026-08-26 08:34:26,121.35232,117.04133,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.15730337078651685,0.0
89,2026-08-26 08:39:26,116.076126,117.720764,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.15555555555555556,0.0
90,2026-08-26 08:44:26,108.16184,116.673256,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.15384615384615385,0.0
91,2026-08-26 08:49:26,109.21709,113.48668,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.15217391304347827,0.0
92,2026-08-26 08:54:26,123.111046,111.382866,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.15053763440860216,0.0
93,2026-08-26 08:59:26,109.04121,114.34957,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.14893617021276595,0.0
94,2026-08-26 09:04:26,99.71994,112.835045,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.14736842105263157,0.0
95,2026-08-26 09:09:26,102.88566,108.48241,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.14583333333333334,0.0
96,2026-08-26 09:14:26,109.04121,106.026634,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.14432989690721648,0.0
97,2026-08-26 09:19:26,135.59802,106.482544,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.14285714285714285,0.0
98,2026-08-26 09:24:26,94.971375,115.13791,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.1414141414141414,0.0
99,2026-08-26 09:29:26,108.16184,110.239456,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.14,0.0
100,2026-08-26 09:34:26,84.419,108.848526,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.13861386138613863,0.0
101,2026-08-26 09:39:26,89.695175,101.589615,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.13725490196078433,0.0
102,2026-08-26 09:44:26,98.92851,97.191025,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.13592233009708737,0.0
103,2026-08-26 09:49:26,79.80234,97.16614,2,2,160.0,160.0,0,0,1,1,hold,hold,0.0,0.0,0.14423076923076922,0.009615384615384616
104,2026-08-26 09:54:26,96.7301,92.65254,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.14285714285714285,0.009523809523809525
