step,timestamp,actual_demand,lstm_forecast,reactive_servers,lstm_servers,reactive_capacity,lstm_capacity,reactive_sla_violation,lstm_sla_violation,reactive_over_prov,lstm_over_prov,reactive_action,lstm_action,reactive_cum_sla_pct,lstm_cum_sla_pct,reactive_cum_cost,lstm_cum_cost
0,2026-08-26 01:34:33,107.371414,163.81012,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
1,2026-08-26 01:39:33,84.8647,151.3828,2,3,160.0,240.0,0,0,0,1,hold,scale_up +1,0.0,0.0,0.0,0.5
2,2026-08-26 01:44:33,96.01481,132.9561,2,3,160.0,240.0,0,0,0,1,hold,hold,0.0,0.0,0.0,0.6666666666666666
3,2026-08-26 01:49:33,102.20931,117.53067,2,3,160.0,240.0,0,0,0,1,hold,hold,0.0,0.0,0.0,0.75
4,2026-08-26 01:54:33,119.2442,107.32601,2,2,160.0,160.0,0,0,0,0,hold,scale_down -1,0.0,0.0,0.0,0.6
5,2026-08-26 01:59:33,104.274155,104.004166,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.5
6,2026-08-26 02:04:33,109.95244,103.43396,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.42857142857142855
7,2026-08-26 02:09:33,139.37634,105.21506,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.375
8,2026-08-26 02:14:33,139.37634,111.93966,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.0,0.3333333333333333
9,2026-08-26 02:19:33,153.6237,118.813,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.3
10,2026-08-26 02:24:33,148.66809,127.02812,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.2727272727272727
11,2026-08-26 02:29:33,141.95737,133.17906,3,3,240.0,240.0,0,0,0,0,hold,scale_up +1,0.0,0.0,0.0,0.25
12,2026-08-26 02:34:33,150.73293,136.88133,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.23076923076923078
13,2026-08-26 02:39:33,186.86751,139.66322,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.21428571428571427
14,2026-08-26 02:44:33,135.50478,147.1137,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.2
15,2026-08-26 02:49:33,136.27908,146.77953,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.1875
16,2026-08-26 02:54:33,133.18182,143.31935,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.17647058823529413
17,2026-08-26 02:59:33,142.47359,138.90405,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.16666666666666666
18,2026-08-26 03:04:33,132.14941,136.49092,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.15789473684210525
19,2026-08-26 03:09:33,134.42073,133.28954,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.15
20,2026-08-26 03:14:33,143.80098,130.27904,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.14285714285714285
21,2026-08-26 03:19:33,145.57083,131.45993,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.13636363636363635
22,2026-08-26 03:24:33,161.0571,133.36104,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.13043478260869565
23,2026-08-26 03:29:33,125.43869,137.96896,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.125
24,2026-08-26 03:34:33,148.66809,136.49332,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.12
25,2026-08-26 03:39:33,120.79282,137.20123,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.11538461538461539
26,2026-08-26 03:44:33,137.51799,133.47992,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.1111111111111111
27,2026-08-26 03:49:33,135.24667,131.34975,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.10714285714285714
28,2026-08-26 03:54:33,126.471115,129.98186,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.10344827586206896
29,2026-08-26 03:59:33,122.341446,127.5274,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.1
30,2026-08-26 04:04:33,128.84567,125.604454,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0967741935483871
31,2026-08-26 04:09:33,144.02222,123.9805,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.09375
32,2026-08-26 04:14:33,174.47852,126.46082,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.09090909090909091
33,2026-08-26 04:19:33,194.35255,134.37624,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.08823529411764706
34,2026-08-26 04:24:33,197.44981,147.20155,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.08571428571428572
35,2026-08-26 04:29:33,137.82771,160.57707,4,3,320.0,240.0,0,0,1,0,scale_up +1,hold,0.0,0.0,0.027777777777777776,0.08333333333333333
36,2026-08-26 04:34:33,128.53595,160.60509,4,3,320.0,240.0,0,0,1,0,hold,hold,0.0,0.0,0.05405405405405406,0.08108108108108109
37,2026-08-26 04:39:33,125.12898,153.24849,4,3,320.0,240.0,0,0,1,0,hold,hold,0.0,0.0,0.07894736842105263,0.07894736842105263
38,2026-08-26 04:44:33,113.0497,143.25131,3,3,240.0,240.0,0,0,1,1,scale_down -1,hold,0.0,0.0,0.10256410256410256,0.10256410256410256
39,2026-08-26 04:49:33,133.18182,131.76944,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.1,0.1
40,2026-08-26 04:54:33,161.0571,125.53047,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.0975609756097561,0.0975609756097561
41,2026-08-26 04:59:33,137.3115,127.61068,3,3,240.0,240.0,0,0,0,0,hold,hold,0.0,0.0,0.09523809523809523,0.09523809523809523
42,2026-08-26 05:04:33,103.44822,130.62381,3,3,240.0,240.0,0,0,1,1,hold,hold,0.0,0.0,0.11627906976744186,0.11627906976744186
43,2026-08-26 05:09:33,85.690636,126.90009,2,3,160.0,240.0,0,0,0,1,scale_down -1,hold,0.0,0.0,0.11363636363636363,0.13636363636363635
44,2026-08-26 05:14:33,91.36893,117.95555,2,3,160.0,240.0,0,0,0,1,hold,hold,0.0,0.0,0.1111111111111111,0.15555555555555556
45,2026-08-26 05:19:33,113.0497,109.406845,2,2,160.0,160.0,0,0,0,0,hold,scale_down -1,0.0,0.0,0.10869565217391304,0.15217391304347827
46,2026-08-26 05:24:33,105.306564,105.18083,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.10638297872340426,0.14893617021276595
47,2026-08-26 05:29:33,134.21426,102.33678,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.10416666666666667,0.14583333333333334
48,2026-08-26 05:34:33,99.112076,106.543015,3,2,240.0,160.0,0,0,1,0,scale_up +1,hold,0.0,0.0,0.12244897959183673,0.14285714285714285
49,2026-08-26 05:39:33,115.11453,108.05337,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.14,0.14
50,2026-08-26 05:44:33,105.82278,110.24538,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.1568627450980392,0.13725490196078433
51,2026-08-26 05:49:33,120.01851,110.08251,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.15384615384615385,0.1346153846153846
52,2026-08-26 05:54:33,103.24174,110.756744,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.16981132075471697,0.1320754716981132
53,2026-08-26 05:59:33,89.04599,109.71526,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.16666666666666666,0.12962962962962962
54,2026-08-26 06:04:33,75.572945,105.05793,2,2,160.0,160.0,0,0,1,1,hold,hold,0.0,0.0,0.18181818181818182,0.14545454545454545
55,2026-08-26 06:09:33,113.56591,99.11391,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.17857142857142858,0.14285714285714285
56,2026-08-26 06:14:33,141.69928,98.1824,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.17543859649122806,0.14035087719298245
57,2026-08-26 06:19:33,105.306564,104.70856,3,2,240.0,160.0,0,0,1,0,scale_up +1,hold,0.0,0.0,0.1896551724137931,0.13793103448275862
58,2026-08-26 06:24:33,98.07964,107.36523,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.2033898305084746,0.13559322033898305
59,2026-08-26 06:29:33,104.274155,107.56094,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.21666666666666667,0.13333333333333333
60,2026-08-26 06:34:33,87.34251,107.375015,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.21311475409836064,0.13114754098360656
61,2026-08-26 06:39:33,85.17442,104.204994,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.20967741935483872,0.12903225806451613
62,2026-08-26 06:44:33,84.400116,98.70656,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.20634920634920634,0.12698412698412698
63,2026-08-26 06:49:33,97.04723,93.31964,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.203125,0.125
64,2026-08-26 06:54:33,88.78789,92.46903,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2,0.12307692307692308
65,2026-08-26 06:59:33,85.94874,91.93095,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.19696969696969696,0.12121212121212122
66,2026-08-26 07:04:33,136.27908,90.92778,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.19402985074626866,0.11940298507462686
67,2026-08-26 07:09:33,126.98733,98.14734,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.19117647058823528,0.11764705882352941
68,2026-08-26 07:14:33,114.59832,106.19429,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.2028985507246377,0.11594202898550725
69,2026-08-26 07:19:33,114.59832,111.25765,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.21428571428571427,0.11428571428571428
70,2026-08-26 07:24:33,122.03173,113.603195,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2112676056338028,0.11267605633802817
71,2026-08-26 07:29:33,111.50107,115.89088,3,2,240.0,160.0,0,0,1,0,hold,hold,0.0,0.0,0.2222222222222222,0.1111111111111111
72,2026-08-26 07:34:33,85.690636,115.75892,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.2191780821917808,0.1095890410958904
73,2026-08-26 07:39:33,102.20931,109.24297,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.21621621621621623,0.10810810810810811
74,2026-08-26 07:44:33,81.76745,105.17068,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.21333333333333335,0.10666666666666667
75,2026-08-26 07:49:33,92.91756,99.7526,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.21052631578947367,0.10526315789473684
76,2026-08-26 07:54:33,92.91756,96.20537,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2077922077922078,0.1038961038961039
77,2026-08-26 07:59:33,82.07718,93.953766,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.20512820512820512,0.10256410256410256
78,2026-08-26 08:04:33,78.463715,91.58721,2,2,160.0,160.0,0,0,1,1,hold,hold,0.0,0.0,0.21518987341772153,0.11392405063291139
79,2026-08-26 08:09:33,116.92127,89.478004,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2125,0.1125
80,2026-08-26 08:14:33,117.69557,92.52433,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.20987654320987653,0.1111111111111111
81,2026-08-26 08:19:33,83.6258,98.5994,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.2073170731707317,0.10975609756097561
