step,timestamp,actual_demand,lstm_forecast,reactive_servers,lstm_servers,reactive_capacity,lstm_capacity,reactive_sla_violation,lstm_sla_violation,reactive_over_prov,lstm_over_prov,reactive_action,lstm_action,reactive_cum_sla_pct,lstm_cum_sla_pct,reactive_cum_cost,lstm_cum_cost
39,2026-08-26 04:29:14,120.0,127.73682,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
40,2026-08-26 04:34:14,133.33333,127.17984,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
41,2026-08-26 04:39:14,133.33333,127.79773,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
42,2026-08-26 04:44:14,133.33333,128.34668,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
43,2026-08-26 04:49:14,140.0,129.09303,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
44,2026-08-26 04:54:14,135.00002,130.02972,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
45,2026-08-26 04:59:14,125.0,130.98056,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
46,2026-08-26 05:04:14,120.0,132.23041,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
47,2026-08-26 05:09:14,140.0,130.40936,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
48,2026-08-26 05:14:14,120.0,129.96973,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
49,2026-08-26 05:19:14,148.0,128.44017,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
50,2026-08-26 05:24:14,120.0,128.53046,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
51,2026-08-26 05:29:14,120.0,127.94514,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
52,2026-08-26 05:34:14,120.0,127.590256,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
53,2026-08-26 05:39:14,140.0,126.9917,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
54,2026-08-26 05:44:14,126.66668,125.7538,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
55,2026-08-26 05:49:14,130.0,126.79761,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
56,2026-08-26 05:54:14,130.0,124.87347,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
57,2026-08-26 05:59:14,140.0,126.6275,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
58,2026-08-26 06:04:14,135.00002,129.1286,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
59,2026-08-26 06:09:14,126.66668,131.38211,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
60,2026-08-26 06:14:14,133.33333,130.30576,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
61,2026-08-26 06:19:14,140.0,131.02864,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
62,2026-08-26 06:24:14,140.0,131.97333,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
63,2026-08-26 06:29:14,130.0,133.29456,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
64,2026-08-26 06:34:14,140.0,132.6698,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
65,2026-08-26 06:39:14,140.0,133.28761,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
66,2026-08-26 06:44:14,140.0,135.07266,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
67,2026-08-26 06:49:14,140.0,136.00682,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
68,2026-08-26 06:54:14,130.0,136.19867,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
69,2026-08-26 06:59:14,135.00002,135.45483,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
70,2026-08-26 07:04:14,146.66667,135.73325,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
71,2026-08-26 07:09:14,143.33334,135.87457,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
72,2026-08-26 07:14:14,140.0,136.49718,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
73,2026-08-26 07:19:14,130.0,137.06104,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
74,2026-08-26 07:24:14,136.0,136.48883,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
75,2026-08-26 07:29:14,130.0,136.88545,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
76,2026-08-26 07:34:14,160.0,135.79442,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
77,2026-08-26 07:39:14,125.0,136.16473,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
78,2026-08-26 07:44:14,126.66668,135.2663,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
79,2026-08-26 07:49:14,133.33333,133.89075,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
80,2026-08-26 07:54:14,140.0,133.70538,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
81,2026-08-26 07:59:14,146.66667,133.45099,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
82,2026-08-26 08:04:14,128.0,135.07141,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
83,2026-08-26 08:09:14,140.0,132.16333,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
84,2026-08-26 08:14:14,126.66668,134.21371,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
85,2026-08-26 08:19:14,130.0,134.56252,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
86,2026-08-26 08:24:14,123.33333,133.55363,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
87,2026-08-26 08:29:14,120.0,130.94809,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
88,2026-08-26 08:34:14,133.33333,127.11552,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
89,2026-08-26 08:39:14,133.33333,126.74911,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
90,2026-08-26 08:44:14,120.0,125.75844,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
91,2026-08-26 08:49:14,126.66668,125.61158,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
92,2026-08-26 08:54:14,130.0,125.148346,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
93,2026-08-26 08:59:14,125.0,125.83606,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
94,2026-08-26 09:04:14,153.33333,126.46593,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
95,2026-08-26 09:09:14,130.0,128.19368,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
96,2026-08-26 09:14:14,128.0,129.33147,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
97,2026-08-26 09:19:14,113.33333,131.1958,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.0,0.0
98,2026-08-26 09:24:14,140.0,129.90161,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
99,2026-08-26 09:29:14,125.0,129.59932,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.0,0.0
100,2026-08-26 09:34:14,130.0,129.26631,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
101,2026-08-26 09:39:14,140.0,126.07232,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
102,2026-08-26 09:44:14,133.33333,127.32845,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
103,2026-08-26 09:49:14,116.0,128.82956,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.0,0.0
104,2026-08-26 09:54:14,110.0,129.94623,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
105,2026-08-26 09:59:14,110.0,125.93696,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
106,2026-08-26 10:04:14,125.0,122.89096,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
107,2026-08-26 10:09:14,140.0,120.37541,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.0,0.0
108,2026-08-26 10:14:14,128.0,119.394684,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
109,2026-08-26 10:19:14,120.0,119.98558,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
110,2026-08-26 10:24:14,126.66668,121.970474,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
111,2026-08-26 10:29:14,113.33333,124.39011,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.0,0.0
112,2026-08-26 10:34:14,130.0,124.95201,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
113,2026-08-26 10:39:14,120.0,124.336624,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.0,0.0
114,2026-08-26 10:44:14,120.0,121.77987,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
115,2026-08-26 10:49:14,140.0,120.82158,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
116,2026-08-26 10:54:14,108.0,122.76761,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.0,0.0
117,2026-08-26 10:59:14,106.66667,121.81474,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
118,2026-08-26 11:04:14,160.0,120.905716,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
119,2026-08-26 11:09:14,156.0,122.47611,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.0,0.0
120,2026-08-26 11:14:14,110.0,127.79184,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.0,0.0,0.0
121,2026-08-26 11:19:14,140.0,129.54813,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
122,2026-08-26 11:24:14,140.0,129.7286,3,2,240.0,160.0,0,0,0,0,scale_up +1,hold,0.0,0.0,0.0,0.0
123,2026-08-26 11:29:14,140.0,133.95053,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
124,2026-08-26 11:34:14,160.0,137.71751,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
125,2026-08-26 11:39:14,140.0,137.13031,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
126,2026-08-26 11:44:14,135.00002,136.97925,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
127,2026-08-26 11:49:14,133.33333,141.13156,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
128,2026-08-26 11:54:14,144.0,140.11707,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
129,2026-08-26 11:59:14,140.0,139.62773,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
130,2026-08-26 12:04:14,120.0,139.11195,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
131,2026-08-26 12:09:14,140.0,134.47337,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
132,2026-08-26 12:14:14,145.0,133.56473,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
133,2026-08-26 12:19:14,140.0,134.38162,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
134,2026-08-26 12:24:14,140.0,135.50314,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
135,2026-08-26 12:29:14,126.66668,135.45999,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
136,2026-08-26 12:34:14,130.0,134.65868,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.0,0.0,0.0
