step,timestamp,actual_demand,lstm_forecast,reactive_servers,lstm_servers,reactive_capacity,lstm_capacity,reactive_sla_violation,lstm_sla_violation,reactive_over_prov,lstm_over_prov,reactive_action,lstm_action,reactive_cum_sla_pct,lstm_cum_sla_pct,reactive_cum_cost,lstm_cum_cost
0,2026-08-26 01:14:57,205.14485,130.68774,2,2,160.0,160.0,1,1,0,0,hold,hold,100.0,100.0,5.0,5.0
1,2026-08-26 01:19:57,158.91502,141.92844,3,3,240.0,240.0,0,0,0,0,scale_up +1,scale_up +1,50.0,50.0,2.5,2.5
2,2026-08-26 01:24:57,158.91502,146.4592,3,3,240.0,240.0,0,0,0,0,hold,hold,33.33333333333333,33.33333333333333,1.6666666666666667,1.6666666666666667
3,2026-08-26 01:29:57,134.83699,149.87329,3,3,240.0,240.0,0,0,0,0,hold,hold,25.0,25.0,1.25,1.25
4,2026-08-26 01:34:57,196.06398,146.15833,3,3,240.0,240.0,0,0,0,0,hold,hold,20.0,20.0,1.0,1.0
5,2026-08-26 01:39:57,130.74373,153.55168,3,3,240.0,240.0,0,0,0,0,hold,hold,16.666666666666664,16.666666666666664,0.8333333333333334,0.8333333333333334
6,2026-08-26 01:44:57,83.79156,150.85918,3,3,240.0,240.0,0,0,1,1,hold,hold,14.285714285714285,14.285714285714285,0.8571428571428572,0.8571428571428572
7,2026-08-26 01:49:57,99.39413,137.66173,3,3,240.0,240.0,0,0,1,1,hold,hold,12.5,12.5,0.875,0.875
8,2026-08-26 01:54:57,213.81294,127.53228,3,2,240.0,160.0,0,1,0,0,hold,scale_down -1,11.11111111111111,22.22222222222222,0.7777777777777778,1.3333333333333335
9,2026-08-26 01:59:57,103.054,133.14874,3,2,240.0,160.0,0,0,1,0,hold,hold,10.0,20.0,0.8,1.2
10,2026-08-26 02:04:57,84.75468,131.71602,3,3,240.0,240.0,0,0,1,1,hold,scale_up +1,9.090909090909092,18.181818181818183,0.8181818181818181,1.1818181818181817
11,2026-08-26 02:09:57,134.83699,121.69759,3,2,240.0,160.0,0,0,0,0,hold,scale_down -1,8.333333333333332,16.666666666666664,0.75,1.0833333333333335
12,2026-08-26 02:14:57,181.30759,120.87701,3,2,240.0,160.0,0,1,0,0,hold,hold,7.6923076923076925,23.076923076923077,0.6923076923076923,1.3846153846153846
13,2026-08-26 02:19:57,97.27526,130.41515,3,2,240.0,160.0,0,0,1,0,hold,hold,7.142857142857142,21.428571428571427,0.7142857142857143,1.2857142857142856
14,2026-08-26 02:24:57,100.40541,129.88759,3,3,240.0,240.0,0,0,1,1,hold,scale_up +1,6.666666666666667,20.0,0.7333333333333334,1.2666666666666666
15,2026-08-26 02:29:57,208.03421,120.29691,3,2,240.0,160.0,0,1,0,0,hold,scale_down -1,6.25,25.0,0.6875,1.5
16,2026-08-26 02:34:57,78.01283,131.4014,3,2,240.0,160.0,0,0,1,1,hold,hold,5.88235294117647,23.52941176470588,0.7058823529411764,1.4705882352941178
17,2026-08-26 02:39:57,92.45965,130.24384,3,3,240.0,240.0,0,0,1,1,hold,scale_up +1,5.555555555555555,22.22222222222222,0.7222222222222222,1.4444444444444444
18,2026-08-26 02:44:57,157.47034,123.10746,3,2,240.0,160.0,0,0,0,0,hold,scale_down -1,5.263157894736842,21.052631578947366,0.6842105263157894,1.3684210526315788
19,2026-08-26 02:49:57,98.96072,121.3888,3,2,240.0,160.0,0,0,1,0,hold,hold,5.0,20.0,0.7,1.3
20,2026-08-26 02:54:57,83.06922,120.90556,3,2,240.0,160.0,0,0,1,0,hold,hold,4.761904761904762,19.047619047619047,0.7142857142857142,1.2380952380952381
21,2026-08-26 02:59:57,99.97199,116.16191,3,2,240.0,160.0,0,0,1,0,hold,hold,4.545454545454546,18.181818181818183,0.7272727272727273,1.1818181818181817
22,2026-08-26 03:04:57,220.16953,106.29405,3,2,240.0,160.0,0,1,0,0,hold,hold,4.3478260869565215,21.73913043478261,0.6956521739130435,1.3478260869565217
23,2026-08-26 03:09:57,88.607155,122.09779,3,2,240.0,160.0,0,0,1,0,hold,hold,4.166666666666666,20.833333333333336,0.7083333333333334,1.2916666666666667
24,2026-08-26 03:14:57,88.607155,124.60456,3,2,240.0,160.0,0,0,1,0,hold,hold,4.0,20.0,0.72,1.24
25,2026-08-26 03:19:57,219.59166,118.27124,3,2,240.0,160.0,0,1,0,0,hold,hold,3.8461538461538463,23.076923076923077,0.6923076923076923,1.3846153846153846
26,2026-08-26 03:24:57,72.2341,130.97362,3,2,240.0,160.0,0,0,1,1,hold,hold,3.7037037037037033,22.22222222222222,0.7037037037037037,1.3703703703703705
27,2026-08-26 03:29:57,85.7178,129.74783,3,3,240.0,240.0,0,0,1,1,hold,scale_up +1,3.571428571428571,21.428571428571427,0.7142857142857143,1.3571428571428572
28,2026-08-26 03:34:57,102.572426,123.51804,3,2,240.0,160.0,0,0,1,0,hold,scale_down -1,3.4482758620689653,20.689655172413794,0.7241379310344828,1.3103448275862069
29,2026-08-26 03:39:57,193.58739,111.89315,3,2,240.0,160.0,0,1,0,0,hold,hold,3.3333333333333335,23.333333333333332,0.7,1.4333333333333333
30,2026-08-26 03:44:57,154.58098,122.26208,3,2,240.0,160.0,0,0,0,0,hold,hold,3.225806451612903,22.58064516129032,0.6774193548387096,1.3870967741935485
31,2026-08-26 03:49:57,114.129875,131.36877,3,2,240.0,160.0,0,0,1,0,hold,hold,3.125,21.875,0.6875,1.34375
32,2026-08-26 03:54:57,115.57456,126.55046,3,2,240.0,160.0,0,0,1,0,hold,hold,3.0303030303030303,21.21212121212121,0.6969696969696969,1.303030303030303
33,2026-08-26 03:59:57,186.36398,129.23088,3,2,240.0,160.0,0,1,0,0,hold,hold,2.941176470588235,23.52941176470588,0.6764705882352942,1.411764705882353
34,2026-08-26 04:04:57,183.47462,137.63991,3,3,240.0,240.0,0,0,0,0,hold,scale_up +1,2.857142857142857,22.857142857142858,0.657142857142857,1.3714285714285714
35,2026-08-26 04:09:57,102.572426,146.32556,3,3,240.0,240.0,0,0,1,1,hold,hold,2.7777777777777777,22.22222222222222,0.6666666666666667,1.3611111111111112
36,2026-08-26 04:14:57,141.57884,139.80481,3,3,240.0,240.0,0,0,0,0,hold,hold,2.7027027027027026,21.62162162162162,0.6486486486486487,1.3243243243243243
37,2026-08-26 04:19:57,141.57884,137.7058,3,3,240.0,240.0,0,0,0,0,hold,hold,2.631578947368421,21.052631578947366,0.631578947368421,1.2894736842105263
38,2026-08-26 04:24:57,157.9519,138.27235,3,3,240.0,240.0,0,0,0,0,hold,hold,2.564102564102564,20.51282051282051,0.6153846153846154,1.2564102564102564
39,2026-08-26 04:29:57,179.14056,140.69202,3,3,240.0,240.0,0,0,0,0,hold,hold,2.5,20.0,0.6,1.225
40,2026-08-26 04:34:57,82.34687,142.91475,3,3,240.0,240.0,0,0,1,1,hold,hold,2.4390243902439024,19.51219512195122,0.6097560975609756,1.2195121951219512
41,2026-08-26 04:39:57,165.51927,134.50166,3,3,240.0,240.0,0,0,0,0,hold,hold,2.380952380952381,19.047619047619047,0.5952380952380952,1.1904761904761905
42,2026-08-26 04:44:57,101.127754,137.78078,3,3,240.0,240.0,0,0,1,1,hold,hold,2.3255813953488373,18.6046511627907,0.6046511627906976,1.1860465116279069
43,2026-08-26 04:49:57,221.75868,132.35774,3,3,240.0,240.0,0,0,0,0,hold,hold,2.272727272727273,18.181818181818183,0.5909090909090909,1.1590909090909092
44,2026-08-26 04:54:57,89.57028,141.01347,3,3,240.0,240.0,0,0,1,1,hold,hold,2.2222222222222223,17.77777777777778,0.6,1.1555555555555554
45,2026-08-26 04:59:57,221.75868,136.24254,3,3,240.0,240.0,0,0,0,0,hold,hold,2.1739130434782608,17.391304347826086,0.5869565217391305,1.1304347826086956
46,2026-08-26 05:04:57,83.79156,143.43091,3,3,240.0,240.0,0,0,1,1,hold,hold,2.127659574468085,17.02127659574468,0.5957446808510638,1.127659574468085
47,2026-08-26 05:09:57,84.36943,141.84633,3,3,240.0,240.0,0,0,1,1,hold,hold,2.083333333333333,16.666666666666664,0.6041666666666666,1.125
48,2026-08-26 05:14:57,180.10368,130.42877,3,3,240.0,240.0,0,0,0,0,hold,hold,2.0408163265306123,16.3265306122449,0.5918367346938775,1.1020408163265305
49,2026-08-26 05:19:57,85.23624,133.89532,3,3,240.0,240.0,0,0,1,1,hold,hold,2.0,16.0,0.6,1.1
50,2026-08-26 05:24:57,229.70447,122.99449,3,2,240.0,160.0,0,1,0,0,hold,scale_down -1,1.9607843137254901,17.647058823529413,0.5882352941176471,1.1764705882352942
51,2026-08-26 05:29:57,82.82843,136.90462,4,2,320.0,160.0,0,0,1,0,scale_up +1,hold,1.9230769230769231,17.307692307692307,0.5961538461538461,1.1538461538461537
52,2026-08-26 05:34:57,69.344734,129.02005,3,3,240.0,240.0,0,0,1,1,scale_down -1,scale_up +1,1.8867924528301887,16.9811320754717,0.6037735849056604,1.150943396226415
53,2026-08-26 05:39:57,121.35328,123.61496,3,2,240.0,160.0,0,0,0,0,hold,scale_down -1,1.8518518518518516,16.666666666666664,0.5925925925925926,1.1296296296296298
54,2026-08-26 05:44:57,171.05037,121.36468,3,2,240.0,160.0,0,1,0,0,hold,hold,1.8181818181818181,18.181818181818183,0.5818181818181818,1.2
55,2026-08-26 05:49:57,127.13202,122.11036,3,2,240.0,160.0,0,0,0,0,hold,hold,1.7857142857142856,17.857142857142858,0.5714285714285714,1.1785714285714286
56,2026-08-26 05:54:57,191.2759,126.80554,3,2,240.0,160.0,0,1,0,0,hold,hold,1.7543859649122806,19.298245614035086,0.5614035087719298,1.2456140350877192
57,2026-08-26 05:59:57,60.67664,129.9679,3,2,240.0,160.0,0,0,1,1,hold,hold,1.7241379310344827,18.96551724137931,0.5689655172413793,1.2413793103448276
58,2026-08-26 06:04:57,61.639767,128.17426,3,2,240.0,160.0,0,0,1,1,hold,hold,1.694915254237288,18.64406779661017,0.576271186440678,1.2372881355932204
59,2026-08-26 06:09:57,104.01711,120.37814,3,2,240.0,160.0,0,0,1,0,hold,hold,1.6666666666666667,18.333333333333332,0.5833333333333334,1.2166666666666666
60,2026-08-26 06:14:57,113.09796,112.768425,3,2,240.0,160.0,0,0,1,0,hold,hold,1.639344262295082,18.0327868852459,0.5901639344262295,1.1967213114754098
61,2026-08-26 06:19:57,164.11588,106.425446,3,2,240.0,160.0,0,1,0,0,hold,hold,1.6129032258064515,19.35483870967742,0.5806451612903226,1.2580645161290323
62,2026-08-26 06:24:57,191.42036,112.33115,3,2,240.0,160.0,0,1,0,0,hold,hold,1.5873015873015872,20.634920634920633,0.5714285714285714,1.3174603174603177
63,2026-08-26 06:29:57,61.639767,121.189575,3,2,240.0,160.0,0,0,1,1,hold,hold,1.5625,20.3125,0.578125,1.3125
64,2026-08-26 06:34:57,46.229824,123.80082,2,2,160.0,160.0,0,0,1,1,scale_down -1,hold,1.5384615384615385,20.0,0.5846153846153845,1.3076923076923077
65,2026-08-26 06:39:57,188.77179,116.250534,2,2,160.0,160.0,1,1,0,0,hold,hold,3.0303030303030303,21.21212121212121,0.6515151515151515,1.3636363636363635
66,2026-08-26 06:44:57,70.30786,120.7236,3,2,240.0,160.0,0,0,1,1,scale_up +1,hold,2.9850746268656714,20.8955223880597,0.6567164179104478,1.3582089552238805
67,2026-08-26 06:49:57,116.53768,115.752556,3,2,240.0,160.0,0,0,1,0,hold,hold,2.941176470588235,20.588235294117645,0.6617647058823529,1.338235294117647
68,2026-08-26 06:54:57,70.30786,111.15932,3,2,240.0,160.0,0,0,1,1,hold,hold,2.898550724637681,20.28985507246377,0.6666666666666666,1.3333333333333335
69,2026-08-26 06:59:57,153.13629,101.12777,3,2,240.0,160.0,0,0,0,0,hold,hold,2.857142857142857,20.0,0.657142857142857,1.3142857142857143
70,2026-08-26 07:04:57,116.53768,109.57123,3,2,240.0,160.0,0,0,1,0,hold,hold,2.8169014084507045,19.718309859154928,0.6619718309859155,1.295774647887324
71,2026-08-26 07:09:57,115.57456,116.1966,3,2,240.0,160.0,0,0,1,0,hold,hold,2.7777777777777777,19.444444444444446,0.6666666666666667,1.2777777777777777
72,2026-08-26 07:14:57,121.35328,112.5104,3,2,240.0,160.0,0,0,0,0,hold,hold,2.73972602739726,19.17808219178082,0.6575342465753424,1.2602739726027397
73,2026-08-26 07:19:57,121.35328,117.527466,3,2,240.0,160.0,0,0,0,0,hold,hold,2.7027027027027026,18.91891891891892,0.6486486486486487,1.2432432432432432
74,2026-08-26 07:24:57,160.07077,118.576546,3,2,240.0,160.0,0,1,0,0,hold,hold,2.666666666666667,20.0,0.64,1.2933333333333334
75,2026-08-26 07:29:57,49.119186,126.95529,2,2,160.0,160.0,0,0,1,1,scale_down -1,hold,2.631578947368421,19.736842105263158,0.6447368421052632,1.2894736842105263
76,2026-08-26 07:34:57,107.86958,117.05004,2,2,160.0,160.0,0,0,0,0,hold,hold,2.5974025974025974,19.480519480519483,0.6363636363636362,1.2727272727272727
77,2026-08-26 07:39:57,99.68306,112.92055,2,2,160.0,160.0,0,0,0,0,hold,hold,2.564102564102564,19.230769230769234,0.6282051282051282,1.2564102564102564
78,2026-08-26 07:44:57,238.37253,109.313774,2,2,160.0,160.0,1,1,0,0,hold,hold,3.79746835443038,20.253164556962027,0.6835443037974684,1.3037974683544304
79,2026-08-26 07:49:57,65.49225,124.05453,3,2,240.0,160.0,0,0,1,1,scale_up +1,hold,3.75,20.0,0.6875,1.3
