machine_id,burstiness_score,cluster,cluster_rank,is_stress_test,demand_scale,demand_mean_pct,demand_p95_pct,demand_p99_pct,reactive_up_tuned,reactive_down_tuned,lstm_under_prov_weight_tuned,lstm_safety_margin_tuned,seed,lstm_forecast_rmse,lstm_forecast_mae,naive_baseline_rmse,lstm_sla_violation_rate_pct,reactive_sla_violation_rate_pct,lstm_over_prov_waste_pct,reactive_over_prov_waste_pct,lstm_cost_score,reactive_cost_score,epochs_trained,wall_clock_secs,arima_under_prov_weight_tuned,arima_safety_margin_tuned,arima_order,arima_forecast_rmse,arima_forecast_mae,arima_sla_violation_rate_pct,arima_over_prov_waste_pct,arima_cost_score,arima_wall_clock_secs
m_2104,17.5,0,3,0,3.1194,115.0,187.83,236.8,60,25,5,0.35,42,8.087576,6.17935,9.241709,3.532,0.2208,13.9073,58.9404,0.315673,0.600442,39,9.6,5,0.4,"(2, 0, 1)",7.958204,6.076533,3.0905,14.5695,0.300221,1.9
m_2104,17.5,0,3,0,3.1194,115.0,187.83,236.8,60,25,5,0.35,43,7.996803,6.10239,9.241709,3.9735,0.2208,11.2583,58.9404,0.311258,0.600442,51,12.7,5,0.4,"(2, 0, 1)",7.958204,6.076533,3.0905,14.5695,0.300221,1.9
m_2104,17.5,0,3,0,3.1194,115.0,187.83,236.8,60,25,5,0.35,44,8.009451,6.095937,9.241709,3.7528,0.2208,11.0375,58.9404,0.298013,0.600442,60,14.8,5,0.4,"(2, 0, 1)",7.958204,6.076533,3.0905,14.5695,0.300221,1.9
m_2104,17.5,0,3,0,3.1194,115.0,187.83,236.8,60,25,5,0.35,45,8.003085,6.107063,9.241709,3.532,0.2208,12.362,58.9404,0.300221,0.600442,47,11.4,5,0.4,"(2, 0, 1)",7.958204,6.076533,3.0905,14.5695,0.300221,1.9
m_2104,17.5,0,3,0,3.1194,115.0,187.83,236.8,60,25,5,0.35,46,8.011165,6.096531,9.241709,3.7528,0.2208,11.0375,58.9404,0.298013,0.600442,52,12.8,5,0.4,"(2, 0, 1)",7.958204,6.076533,3.0905,14.5695,0.300221,1.9
m_2134,38.2,0,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.35,42,17.571775,14.195505,23.51148,13.245,2.4283,27.5938,54.9669,0.93819,0.671082,44,11.6,5,0.35,"(2, 0, 1)",17.309452,14.090887,12.8035,27.3731,0.913907,1.9
m_2134,38.2,0,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.35,43,17.614531,14.173561,23.51148,13.9073,2.4283,26.4901,54.9669,0.960265,0.671082,60,15.0,5,0.35,"(2, 0, 1)",17.309452,14.090887,12.8035,27.3731,0.913907,1.9
m_2134,38.2,0,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.35,44,17.542551,14.218865,23.51148,12.5828,2.4283,28.6976,54.9669,0.916115,0.671082,32,8.6,5,0.35,"(2, 0, 1)",17.309452,14.090887,12.8035,27.3731,0.913907,1.9
m_2134,38.2,0,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.35,45,17.665791,14.236924,23.51148,12.1413,2.4283,29.1391,54.9669,0.898455,0.671082,20,5.9,5,0.35,"(2, 0, 1)",17.309452,14.090887,12.8035,27.3731,0.913907,1.9
m_2134,38.2,0,-1,1,2.8894,115.0,210.89,241.74,75,20,5,0.35,46,17.49024,14.220011,23.51148,11.9205,2.4283,28.9183,54.9669,0.88521,0.671082,39,10.9,5,0.35,"(2, 0, 1)",17.309452,14.090887,12.8035,27.3731,0.913907,1.9
m_2163,14.797499999999992,3,2,0,2.6381,115.0,166.2,195.22,75,30,5,0.35,42,7.355518,5.60903,8.527426,1.766,0.4415,5.7395,20.0883,0.145695,0.222958,60,14.8,5,0.35,"(2, 0, 1)",7.295777,5.566393,1.766,5.5188,0.143488,1.9
m_2163,14.797499999999992,3,2,0,2.6381,115.0,166.2,195.22,75,30,5,0.35,43,7.356552,5.577394,8.527426,1.9868,0.4415,4.8565,20.0883,0.147903,0.222958,59,14.3,5,0.35,"(2, 0, 1)",7.295777,5.566393,1.766,5.5188,0.143488,1.9
m_2163,14.797499999999992,3,2,0,2.6381,115.0,166.2,195.22,75,30,5,0.35,44,7.354688,5.639751,8.527426,1.766,0.4415,6.181,20.0883,0.15011,0.222958,54,13.6,5,0.35,"(2, 0, 1)",7.295777,5.566393,1.766,5.5188,0.143488,1.9
m_2163,14.797499999999992,3,2,0,2.6381,115.0,166.2,195.22,75,30,5,0.35,45,7.359367,5.615656,8.527426,1.766,0.4415,5.5188,20.0883,0.143488,0.222958,55,14.1,5,0.35,"(2, 0, 1)",7.295777,5.566393,1.766,5.5188,0.143488,1.9
