machine_id,hybrid_result,cluster,burstiness,demand_scale,growth_max_pct,growth_p99_pct,lb_stat_lag5,lb_pvalue_lag5,lb_stat_lag10,lb_pvalue_lag10,max_abs_acf_lag1to5,acf_lag1,pacf_lag1,acf_lag2,pacf_lag2,acf_lag3,pacf_lag3,acf_lag4,pacf_lag4,acf_lag5,pacf_lag5
m_2056,no advantage,C,1.597500000000002,23.3077,-18.2,8.1,8.240711972123345,0.143458990413258,23.29869732002635,0.009696144298446261,0.07026539120847278,-0.0015115719878597042,-0.0015126665367285342,0.0166420829087208,0.016663951839195616,-0.07026539120847278,-0.07038796238181104,0.022811302069493694,0.0225911372031452,-0.014284672144333144,-0.012088234418110069
m_2134,no advantage,A,38.2,2.8894,14.5,17.1,9.023386776313565,0.10813496619777463,19.38400577414641,0.035647752497345996,0.05713872802565672,0.0005138690319493285,0.0005142414008130427,0.02077345858725494,0.020803327938174045,-0.0429439629902815,-0.043077282676294806,0.05713872802565672,0.057084467727970885,-0.03108131752325563,-0.029867256558175174
m_2647,thin,B,14.560000000000002,2.5946,0.4,-7.5,4.865984825778475,0.43245372410951866,14.065364268850805,0.17003096700074913,0.04204869667915686,-0.0063358367755373705,-0.0063404246370692575,0.014060720660462222,0.014041462012511337,0.017726731104112225,0.017946610503668903,-0.04204869667915686,-0.04216431405654035,0.034427794370732366,0.033610751466553644
m_2163,no advantage,B,14.797499999999992,2.6381,4.7,-1.9,0.8488565678172071,0.973813026651543,13.835251017508007,0.18063982453493008,0.01890863099739853,-0.004434155700896641,-0.004437368857201629,0.01890863099739853,0.018916736915433906,-0.007214642272351547,-0.007066639585878268,-0.00028769852585221347,-0.0007083303930801226,-0.013532754401044083,-0.013321471864680422
m_2085,confound (excluded),C,1.5,23.1292,26.7,14.3,8.594545710664905,0.1263708654561418,12.120202284367144,0.2770923796752522,0.06257370314151645,-0.0015008835387183153,-0.0015019766804071177,-0.028144462490603855,-0.02818780892763905,0.006175888157952707,0.006108404673546389,0.038447452516120986,0.03781469474281979,-0.06257370314151645,-0.06248357641534652
m_2380,thin,B,14.333333333333336,2.6361,-6.0,-9.7,1.5956188961471263,0.9017786419323085,11.483820943245908,0.321085582283211,0.02369165178744752,0.0016773448682859517,0.0016785603355818177,-0.011938232213751843,-0.011958397804547488,0.01517374676016394,0.015249385694917548,0.014611497653585954,0.014461933772365012,0.02369165178744752,0.024104888942042813
m_2183,no advantage,A,16.666666666666664,3.1278,13.6,26.8,3.510492552818481,0.6218005690520072,10.088586771325037,0.43275596689372964,0.029892350809581237,0.0016216396423871906,0.0016228138926713304,-0.0070748319841265495,-0.007087737554477479,0.028844232598619585,0.028931593866965807,0.02740344666027962,0.02735666226451893,-0.029892350809581237,-0.02971751573567186
m_2241,no advantage,C,1.0,16.7581,0.0,0.7,4.655477864091136,0.45935422970836404,9.87820586356743,0.4512429968269547,0.04760394307669772,0.0007545892053296785,0.0007551356131539451,-0.04760394307669772,-0.04767353171321045,0.023832024981656017,0.024012174744948347,0.022782038734317334,0.02056875022611213,0.002012835138850486,0.004244030378270282
m_2355,no advantage,A,16.6,3.255,0.0,-5.3,3.95313527719146,0.5561829106243026,8.534267429071939,0.5767976803767849,0.040519942377163214,0.005681969975772065,0.0056861234625964555,-0.013140943768572985,-0.013192928282521369,-0.002354127614618332,-0.0022089194096670916,-0.040519942377163214,-0.040794670359635736,0.031971424581324445,0.03255254686072905
m_2087,no advantage,C,1.25,16.1119,21.7,14.1,1.4789076596700843,0.9154909550113377,7.241566990348518,0.7024596769039444,0.029997939135120943,0.0005244924410254654,0.0005248722328002733,-0.011523141333859978,-0.01154012020875007,0.004043523292663243,0.004065046343705816,-0.003968518470511717,-0.004118327041152487,0.029997939135120943,0.030210338271777454
m_2189,no advantage,B,14.485714285714298,2.6381,0.3,-3.7,1.2555006703439484,0.9394433215939215,6.179927165923675,0.7999267275601434,0.022935175754156847,-0.0061952087316215374,-0.006199694762564064,-0.014592001029271603,-0.014652148245121555,0.009373937895013685,0.009213899609145969,0.022935175754156847,0.022911178122347286,0.006305136711976886,0.00689313052347678
m_2065,no advantage,A,16.33416666666666,3.0973,13.1,33.6,1.8705826139441464,0.8667469273119117,5.585293285450643,0.8488194508428801,0.028834647542169713,-0.0008597609462994203,-0.0008603898862747649,0.012358925307619492,0.012376289257683654,-0.028834647542169713,-0.028881299891192105,0.018368707459684802,0.01824864927771707,0.0063145057885464805,0.007069847651886344
m_2104,robust,A,17.5,3.1194,-2.4,-8.7,1.5683635594915768,0.9050484034730364,2.3955181852462832,0.9923123749299289,0.02034590092626879,-0.009611886904952611,-0.009618846996846125,0.016156107392849655,0.016088488366317016,0.015270086010810655,0.015616669877816255,-0.011394683819694778,-0.011398347475646588,-0.02034590092626879,-0.021155925045127567
