machine_id,seed,variant,under_prov_weight,safety_margin,val_cost,cost_score,sla_violation_rate_pct,w
m_2189,46,residual_hybrid,5,0.3,0.218543,0.12362,1.3245,
m_2189,46,blend,5,0.3,0.214128,0.108168,0.883,0.5
m_2241,42,residual_hybrid,5,0.2,0.0,0.011038,0.2208,
m_2241,42,blend,5,0.2,0.0,0.011038,0.2208,0.0
m_2241,43,residual_hybrid,5,0.2,0.0,0.011038,0.2208,
m_2241,43,blend,5,0.2,0.0,0.011038,0.2208,0.0
m_2241,44,residual_hybrid,5,0.2,0.0,0.011038,0.2208,
m_2241,44,blend,5,0.2,0.0,0.011038,0.2208,0.0
m_2241,45,residual_hybrid,5,0.2,0.0,0.011038,0.2208,
m_2241,45,blend,5,0.2,0.0,0.011038,0.2208,0.0
m_2241,46,residual_hybrid,5,0.2,0.0,0.011038,0.2208,
m_2241,46,blend,5,0.2,0.0,0.011038,0.2208,0.0
m_2355,42,residual_hybrid,5,0.35,0.489978,0.320713,3.3408,
m_2355,42,blend,5,0.35,0.483296,0.331849,3.5635,0.5
m_2355,43,residual_hybrid,5,0.35,0.465479,0.32294,3.3408,
m_2355,43,blend,5,0.35,0.487751,0.320713,3.3408,0.2
m_2355,44,residual_hybrid,5,0.35,0.487751,0.32294,3.3408,
m_2355,44,blend,5,0.35,0.481069,0.331849,3.5635,0.4
m_2355,45,residual_hybrid,5,0.35,0.501114,0.32294,3.118,
m_2355,45,blend,5,0.35,0.487751,0.331849,3.5635,0.3
m_2355,46,residual_hybrid,5,0.4,0.503341,0.32294,3.118,
m_2355,46,blend,5,0.35,0.487751,0.342984,3.7862,0.4
m_2380,42,residual_hybrid,5,0.3,0.205298,0.205298,2.649,
m_2380,42,blend,5,0.3,0.205298,0.205298,2.649,0.0
m_2380,43,residual_hybrid,5,0.3,0.205298,0.203091,2.649,
m_2380,43,blend,5,0.3,0.205298,0.205298,2.649,0.0
m_2380,44,residual_hybrid,5,0.3,0.205298,0.203091,2.649,
m_2380,44,blend,5,0.4,0.203091,0.19426,1.5453,0.4
m_2380,45,residual_hybrid,5,0.3,0.205298,0.203091,2.649,
m_2380,45,blend,5,0.4,0.203091,0.209713,1.766,0.4
m_2380,46,residual_hybrid,5,0.3,0.205298,0.203091,2.649,
m_2380,46,blend,5,0.3,0.205298,0.205298,2.649,0.0
m_2647,42,residual_hybrid,5,0.35,0.245033,0.183223,1.1038,
m_2647,42,blend,5,0.35,0.242826,0.181015,1.1038,0.2
m_2647,43,residual_hybrid,5,0.35,0.245033,0.178808,1.1038,
m_2647,43,blend,5,0.35,0.242826,0.181015,1.1038,0.2
m_2647,44,residual_hybrid,5,0.35,0.245033,0.1766,1.1038,
m_2647,44,blend,5,0.35,0.242826,0.181015,1.1038,0.2
m_2647,45,residual_hybrid,5,0.35,0.247241,0.183223,1.1038,
m_2647,45,blend,5,0.35,0.242826,0.183223,1.1038,0.2
m_2647,46,residual_hybrid,5,0.35,0.245033,0.178808,1.1038,
m_2647,46,blend,5,0.35,0.242826,0.181015,1.1038,0.2
