machine_id,burstiness,demand_scale,seed,lstm_under_prov_weight,lstm_safety_margin,lstm_horizon_weights,lstm_cost_score,lstm_sla_violation_rate_pct,arima_under_prov_weight,arima_safety_margin,arima_horizon_weights,arima_cost_score,arima_sla_violation_rate_pct
m_2355,16.6,3.255,42,5,0.4,front_80_15_05,0.336303,3.5635,5,0.35,linear_321,0.318486,3.3408
m_2355,16.6,3.255,43,5,0.4,front_80_15_05,0.345212,3.5635,5,0.35,linear_321,0.318486,3.3408
m_2355,16.6,3.255,44,5,0.4,front_80_15_05,0.33853,3.5635,5,0.35,linear_321,0.318486,3.3408
m_2355,16.6,3.255,45,5,0.4,front_80_15_05,0.327394,3.3408,5,0.35,linear_321,0.318486,3.3408
m_2355,16.6,3.255,46,5,0.4,front_80_15_05,0.327394,3.5635,5,0.35,linear_321,0.318486,3.3408
m_2380,14.333333333333336,2.6361,42,5,0.4,linear_321,0.196468,1.5453,5,0.3,uniform,0.222958,3.0905
m_2380,14.333333333333336,2.6361,43,5,0.4,linear_321,0.205298,1.9868,5,0.3,uniform,0.222958,3.0905
m_2380,14.333333333333336,2.6361,44,5,0.4,linear_321,0.196468,1.5453,5,0.3,uniform,0.222958,3.0905
m_2380,14.333333333333336,2.6361,45,5,0.4,linear_321,0.198675,1.766,5,0.3,uniform,0.222958,3.0905
m_2380,14.333333333333336,2.6361,46,5,0.4,linear_321,0.19426,1.5453,5,0.3,uniform,0.222958,3.0905
m_2647,14.560000000000002,2.5946,42,5,0.35,uniform,0.178808,1.3245,5,0.35,uniform,0.178808,1.1038
m_2647,14.560000000000002,2.5946,43,5,0.35,uniform,0.187638,1.3245,5,0.35,uniform,0.178808,1.1038
m_2647,14.560000000000002,2.5946,44,5,0.35,uniform,0.181015,1.3245,5,0.35,uniform,0.178808,1.1038
m_2647,14.560000000000002,2.5946,45,5,0.35,uniform,0.198675,1.3245,5,0.35,uniform,0.178808,1.1038
m_2647,14.560000000000002,2.5946,46,5,0.35,uniform,0.187638,1.3245,5,0.35,uniform,0.178808,1.1038
